###Movement values in mm###
X	Y	A		sX	sY	sA
1215	244.314	0		2.75655	0.576092	0.000243121
1215	245.403	0		2.77922	0.598686	0.000246259
1215	246.491	0		2.80189	0.621862	0.000249396
1215	247.579	0		2.82456	0.645629	0.000252534
1215	248.667	0		2.84723	0.669994	0.000255671
1215	249.755	0		2.86989	0.694965	0.000258809
1215	250.843	0		2.89256	0.720548	0.000261947
1215	251.931	0		2.91523	0.746752	0.000265084
1215	253.019	0		2.9379	0.773583	0.000268222
1215	254.107	0		2.96057	0.80105	0.000271359
1215	255.195	0		2.98324	0.829159	0.000274497
1215	256.284	0		3.00591	0.857918	0.000277634
1215	257.372	0		3.02858	0.887334	0.000280772
1215	258.46	0		3.05125	0.917415	0.000283909
1215	259.548	0		3.07391	0.948169	0.000287047
1215	260.636	0		3.09658	0.979602	0.000290185
1215	261.724	0		3.11925	1.01172	0.000293322
1215	262.812	0		3.14192	1.04454	0.00029646
1215	263.9	0		3.16459	1.07805	0.000299597
1215	264.988	0		3.18726	1.11228	0.000302735
1215	266.077	0		3.20993	1.14722	0.000305872
1215	267.165	0		3.2326	1.18289	0.00030901
1215	268.253	0		3.25526	1.21929	0.000312147
1215	269.341	0		3.27793	1.25643	0.000315285
1215	270.429	0		3.3006	1.29431	0.000318423
1215	271.517	0		3.32327	1.33295	0.00032156
1215	272.605	0		3.34594	1.37235	0.000324698
1215	273.693	0		3.36861	1.41252	0.000327835
1215	274.781	0		3.39128	1.45347	0.000330973
1215	275.869	0		3.41395	1.4952	0.00033411
1215	276.958	0		3.43662	1.53772	0.000337248
1215	278.046	0		3.45928	1.58104	0.000340385
1215	279.134	0		3.48195	1.62516	0.000343523
1215	280.222	0		3.50462	1.6701	0.00034666
1215	281.31	0		3.52729	1.71586	0.000349798
1215	282.398	0		3.54996	1.76245	0.000352936
1215	283.486	0		3.57263	1.80987	0.000356073
1215	284.574	0		3.5953	1.85814	0.000359211
1215	285.662	0		3.61797	1.90725	0.000362348
1215	286.75	0		3.64064	1.95723	0.000365486
1215	287.839	0		3.6633	2.00807	0.000368623
1215	288.927	0		3.68597	2.05978	0.000371761
1215	290.015	0		3.70864	2.11238	0.000374898
1215	291.103	0		3.73131	2.16586	0.000378036
1215	292.191	0		3.75398	2.22024	0.000381174
1215	293.279	0		3.77665	2.27552	0.000384311
1215	294.367	0		3.79932	2.3317	0.000387449
1215	295.455	0		3.82199	2.38881	0.000390586
1215	296.543	0		3.84465	2.44684	0.000393724
1215	297.632	0		3.86732	2.50581	0.000396861
1215	298.72	0		3.88999	2.56571	0.000399999
1215	299.808	0		3.91266	2.62656	0.000403136
1215	300.896	0		3.93533	2.68837	0.000406274
1215	301.984	0		3.958	2.75113	0.000409412
1215	303.072	0		3.98067	2.81487	0.000412549
1215	304.16	0		4.00334	2.87959	0.000415687
1215	305.248	0		4.02601	2.94528	0.000418824
1215	306.336	0		4.04867	3.01197	0.000421962
1215	307.424	0		4.07134	3.07966	0.000425099
1215	308.513	0		4.09401	3.14836	0.000428237
1215	309.601	0		4.11668	3.21807	0.000431374
1215	310.689	0		4.13935	3.2888	0.000434512
1215	311.777	0		4.16202	3.36056	0.00043765
1215	312.865	0		4.18469	3.43336	0.000440787
1215	313.953	0		4.20736	3.5072	0.000443925
1215	315.041	0		4.23002	3.58209	0.000447062
1215	316.129	0		4.25269	3.65804	0.0004502
1215	317.217	0		4.27536	3.73505	0.000453337
1215	318.305	0		4.29803	3.81314	0.000456475
1215	319.394	0		4.3207	3.89231	0.000459612
1215	320.482	0		4.34337	3.97257	0.00046275
1215	321.57	0		4.36604	4.05393	0.000465888
1215	322.658	0		4.38871	4.13638	0.000469025
1215	323.746	0		4.41138	4.21995	0.000472163
1215	324.834	0		4.43404	4.30464	0.0004753
1215	325.922	0		4.45671	4.39045	0.000478438
1215	327.01	0		4.47938	4.4774	0.000481575
1215	328.098	0		4.50205	4.56548	0.000484713
1215	329.187	0		4.52472	4.65471	0.00048785
1215	330.275	0		4.54739	4.7451	0.000490988
1215	331.363	0		4.57006	4.83665	0.000494126
1215	332.451	0		4.59273	4.92937	0.000497263
1215	333.539	0		4.61539	5.02327	0.000500401
1215	334.627	0		4.63806	5.11836	0.000503538
1215	335.715	0		4.66073	5.21463	0.000506676
1215	336.803	0		4.6834	5.31211	0.000509813
1215	337.891	0		4.70607	5.41079	0.000512951
1215	338.979	0		4.72874	5.51069	0.000516088
1215	340.068	0		4.75141	5.61181	0.000519226
1215	341.156	0		4.77408	5.71415	0.000522364
1215	342.244	0		4.79675	5.81774	0.000525501
1215	343.332	0		4.81941	5.92257	0.000528639
1215	344.42	0		4.84208	6.02865	0.000531776
1215	345.508	0		4.86475	6.13599	0.000534914
1215	346.596	0		4.88742	6.2446	0.000538051
1215	347.684	0		4.91009	6.35448	0.000541189
1215	348.772	0		4.93276	6.46565	0.000544326
1215	349.86	0		4.95543	6.5781	0.000547464
1215	350.949	0		4.9781	6.69185	0.000550601
1215	352.037	0		5.00076	6.8069	0.000553739
1215	353.125	0		5.02343	6.92326	0.000556877
1215	354.213	0		5.0461	7.04094	0.000560014
1215	355.301	0		5.06877	7.15995	0.000563152
1215	356.389	0		5.09144	7.28029	0.000566289
1215	357.477	0		5.11411	7.40198	0.000569427
1215	358.565	0		5.13678	7.52501	0.000572564
1215	359.653	0		5.15945	7.6494	0.000575702
1215	360.742	0		5.18212	7.77515	0.000578839
1215	361.83	0		5.20478	7.90227	0.000581977
1215	362.918	0		5.22745	8.03077	0.000585115
1215	364.006	0		5.25012	8.16065	0.000588252
1215	365.094	0		5.27279	8.29193	0.00059139
1215	366.182	0		5.29546	8.4246	0.000594527
1215	367.27	0		5.31813	8.55869	0.000597665
1215	368.358	0		5.3408	8.69419	0.000600802
1215	369.446	0		5.36347	8.83111	0.00060394
1215	370.534	0		5.38613	8.96947	0.000607077
1215	371.623	0		5.4088	9.10926	0.000610215
1215	372.711	0		5.43147	9.25049	0.000613353
1215	373.799	0		5.45414	9.39318	0.00061649
1215	374.887	0		5.47681	9.53733	0.000619628
1215	375.975	0		5.49948	9.68295	0.000622765
1215	377.063	0		5.52215	9.83004	0.000625903
1215	378.151	0		5.54482	9.97861	0.00062904
1215	379.239	0		5.56749	10.1287	0.000632178
1215	380.327	0		5.59015	10.2802	0.000635315
1215	381.416	0		5.61282	10.4333	0.000638453
1215	382.504	0		5.63549	10.5879	0.000641591
1215	383.592	0		5.65816	10.744	0.000644728
1215	384.68	0		5.68083	10.9016	0.000647866
1215	385.768	0		5.7035	11.0607	0.000651003
1215	386.856	0		5.72617	11.2214	0.000654141
1215	387.944	0		5.74884	11.3837	0.000657278
1215	389.032	0		5.7715	11.5475	0.000660416
1215	390.12	0		5.79417	11.7128	0.000663553
1215	391.208	0		5.81684	11.8798	0.000666691
1215	392.297	0		5.83951	12.0483	0.000669829
1215	393.385	0		5.86218	12.2184	0.000672966
1215	394.473	0		5.88485	12.3901	0.000676104
1215	395.561	0		5.90752	12.5634	0.000679241
1215	396.649	0		5.93019	12.7383	0.000682379
1215	397.737	0		5.95286	12.9148	0.000685516
1215	398.825	0		5.97552	13.093	0.000688654
1215	399.913	0		5.99819	13.2727	0.000691791
1215	401.001	0		6.02086	13.4541	0.000694929
1215	402.089	0		6.04353	13.6372	0.000698067
1215	403.178	0		6.0662	13.8219	0.000701204
1215	404.266	0		6.08887	14.0083	0.000704342
